ts_event,best_ofi_AAPL,integrated_ofi_AAPL
2024-10-21 11:54:00+00:00,-394.0,
2024-10-21 11:55:00+00:00,-814.0,
2024-10-21 11:56:00+00:00,300.0,
2024-10-21 11:57:00+00:00,779.0,
2024-10-21 11:58:00+00:00,477.0,
2024-10-21 11:59:00+00:00,350.0,
2024-10-21 12:00:00+00:00,629.0,
2024-10-21 12:01:00+00:00,-398.0,
2024-10-21 12:02:00+00:00,-501.0,
2024-10-21 12:03:00+00:00,-449.0,
2024-10-21 12:04:00+00:00,147.0,
2024-10-21 12:05:00+00:00,1142.0,
2024-10-21 12:06:00+00:00,659.0,
2024-10-21 12:07:00+00:00,835.0,
2024-10-21 12:08:00+00:00,1004.0,
2024-10-21 12:09:00+00:00,211.0,
2024-10-21 12:10:00+00:00,0.0,
2024-10-21 12:11:00+00:00,-1.0,
2024-10-21 12:12:00+00:00,160.0,
2024-10-21 12:13:00+00:00,1979.0,
2024-10-21 12:14:00+00:00,-22.0,
2024-10-21 12:15:00+00:00,1076.0,
2024-10-21 12:16:00+00:00,-548.0,
2024-10-21 12:17:00+00:00,-660.0,
2024-10-21 12:18:00+00:00,-1100.0,
2024-10-21 12:19:00+00:00,-50.0,
2024-10-21 12:20:00+00:00,5.0,
2024-10-21 12:21:00+00:00,0.0,
2024-10-21 12:22:00+00:00,-602.0,
2024-10-21 12:23:00+00:00,-577.0,
2024-10-21 12:24:00+00:00,-74.0,-3.5540612821829702
2024-10-21 12:25:00+00:00,180.0,4.575535229498559
2024-10-21 12:26:00+00:00,239.0,1.2409450755691824
2024-10-21 12:27:00+00:00,510.0,-2.99840400578605
2024-10-21 12:28:00+00:00,-593.0,-0.621007719579795
2024-10-21 12:29:00+00:00,-1508.0,-3.083234905348391
2024-10-21 12:30:00+00:00,-206.0,-0.3271498867692708
2024-10-21 12:31:00+00:00,-1246.0,4.5535986280905805
2024-10-21 12:32:00+00:00,-471.0,5.229614721836465
2024-10-21 12:33:00+00:00,-12.0,4.564267304789263
2024-10-21 12:34:00+00:00,45.0,-8.48789781385706
2024-10-21 12:35:00+00:00,927.0,-3.7930989943488997
2024-10-21 12:36:00+00:00,-287.0,-2.9544726996672717
2024-10-21 12:37:00+00:00,-351.0,4.225678419495679
2024-10-21 12:38:00+00:00,37.0,3.5201685663994358
2024-10-21 12:39:00+00:00,26.0,-0.15714373849376218
2024-10-21 12:40:00+00:00,533.0,-1.8275425286590743
2024-10-21 12:41:00+00:00,-343.0,1.4369916302839971
2024-10-21 12:42:00+00:00,384.0,-5.665616550510869
2024-10-21 12:43:00+00:00,57.0,-1.2917105976052068
2024-10-21 12:44:00+00:00,93.0,5.295063943455154
2024-10-21 12:45:00+00:00,-387.0,-3.2531743966429665
2024-10-21 12:46:00+00:00,178.0,0.659850595564994
2024-10-21 12:47:00+00:00,75.0,-8.455036581533994
2024-10-21 12:48:00+00:00,-18.0,-3.5437793870454923
2024-10-21 12:49:00+00:00,-39.0,1.0498465638332792
2024-10-21 12:50:00+00:00,400.0,-2.7537070078096333
2024-10-21 12:51:00+00:00,-335.0,0.3542437093147701
2024-10-21 12:52:00+00:00,-254.0,6.099002776773771
2024-10-21 12:53:00+00:00,-1180.0,0.9340780285073582
2024-10-21 12:54:00+00:00,-155.0,-1.3239632491315831
2024-10-21 12:55:00+00:00,-1901.0,3.502077135570593
2024-10-21 12:56:00+00:00,217.0,-0.6707271162405757
2024-10-21 12:57:00+00:00,25.0,0.37325768668599524
2024-10-21 12:58:00+00:00,190.0,1.0696418048616207
2024-10-21 12:59:00+00:00,0.0,2.965260079305976
2024-10-21 13:00:00+00:00,-1003.0,1.3482894713122173
2024-10-21 13:01:00+00:00,-1122.0,-0.01815542421061367
2024-10-21 13:02:00+00:00,-4502.0,-1.0843785732050009
2024-10-21 13:03:00+00:00,140.0,6.177529507644829
2024-10-21 13:04:00+00:00,-196.0,-2.790920135804701
