ts_event,integrated_ofi,instrument_id,symbol
2024-10-21 11:54:00+00:00,,38.0,AAPL
2024-10-21 11:55:00+00:00,,38.0,AAPL
2024-10-21 11:56:00+00:00,,38.0,AAPL
2024-10-21 11:57:00+00:00,,38.0,AAPL
2024-10-21 11:58:00+00:00,,38.0,AAPL
2024-10-21 11:59:00+00:00,,38.0,AAPL
2024-10-21 12:00:00+00:00,,38.0,AAPL
2024-10-21 12:01:00+00:00,,38.0,AAPL
2024-10-21 12:02:00+00:00,,38.0,AAPL
2024-10-21 12:03:00+00:00,,38.0,AAPL
2024-10-21 12:04:00+00:00,,38.0,AAPL
2024-10-21 12:05:00+00:00,,38.0,AAPL
2024-10-21 12:06:00+00:00,,38.0,AAPL
2024-10-21 12:07:00+00:00,,38.0,AAPL
2024-10-21 12:08:00+00:00,,38.0,AAPL
2024-10-21 12:09:00+00:00,,38.0,AAPL
2024-10-21 12:10:00+00:00,,38.0,AAPL
2024-10-21 12:11:00+00:00,,38.0,AAPL
2024-10-21 12:12:00+00:00,,38.0,AAPL
2024-10-21 12:13:00+00:00,,38.0,AAPL
2024-10-21 12:14:00+00:00,,38.0,AAPL
2024-10-21 12:15:00+00:00,,38.0,AAPL
2024-10-21 12:16:00+00:00,,38.0,AAPL
2024-10-21 12:17:00+00:00,,38.0,AAPL
2024-10-21 12:18:00+00:00,,38.0,AAPL
2024-10-21 12:19:00+00:00,,38.0,AAPL
2024-10-21 12:20:00+00:00,,38.0,AAPL
2024-10-21 12:21:00+00:00,,38.0,AAPL
2024-10-21 12:22:00+00:00,,38.0,AAPL
2024-10-21 12:23:00+00:00,,38.0,AAPL
2024-10-21 12:24:00+00:00,-3.5540612821829702,38.0,AAPL
2024-10-21 12:25:00+00:00,4.575535229498559,38.0,AAPL
2024-10-21 12:26:00+00:00,1.2409450755691824,38.0,AAPL
2024-10-21 12:27:00+00:00,-2.99840400578605,38.0,AAPL
2024-10-21 12:28:00+00:00,-0.621007719579795,38.0,AAPL
2024-10-21 12:29:00+00:00,-3.083234905348391,38.0,AAPL
2024-10-21 12:30:00+00:00,-0.3271498867692708,38.0,AAPL
2024-10-21 12:31:00+00:00,4.5535986280905805,38.0,AAPL
2024-10-21 12:32:00+00:00,5.229614721836465,38.0,AAPL
2024-10-21 12:33:00+00:00,4.564267304789263,38.0,AAPL
2024-10-21 12:34:00+00:00,-8.48789781385706,38.0,AAPL
2024-10-21 12:35:00+00:00,-3.7930989943488997,38.0,AAPL
2024-10-21 12:36:00+00:00,-2.9544726996672717,38.0,AAPL
2024-10-21 12:37:00+00:00,4.225678419495679,38.0,AAPL
2024-10-21 12:38:00+00:00,3.5201685663994358,38.0,AAPL
2024-10-21 12:39:00+00:00,-0.15714373849376218,38.0,AAPL
2024-10-21 12:40:00+00:00,-1.8275425286590743,38.0,AAPL
2024-10-21 12:41:00+00:00,1.4369916302839971,38.0,AAPL
2024-10-21 12:42:00+00:00,-5.665616550510869,38.0,AAPL
2024-10-21 12:43:00+00:00,-1.2917105976052068,38.0,AAPL
2024-10-21 12:44:00+00:00,5.295063943455154,38.0,AAPL
2024-10-21 12:45:00+00:00,-3.2531743966429665,38.0,AAPL
2024-10-21 12:46:00+00:00,0.659850595564994,38.0,AAPL
2024-10-21 12:47:00+00:00,-8.455036581533994,38.0,AAPL
2024-10-21 12:48:00+00:00,-3.5437793870454923,38.0,AAPL
2024-10-21 12:49:00+00:00,1.0498465638332792,38.0,AAPL
2024-10-21 12:50:00+00:00,-2.7537070078096333,38.0,AAPL
2024-10-21 12:51:00+00:00,0.3542437093147701,38.0,AAPL
2024-10-21 12:52:00+00:00,6.099002776773771,38.0,AAPL
2024-10-21 12:53:00+00:00,0.9340780285073582,38.0,AAPL
2024-10-21 12:54:00+00:00,-1.3239632491315831,38.0,AAPL
2024-10-21 12:55:00+00:00,3.502077135570593,38.0,AAPL
2024-10-21 12:56:00+00:00,-0.6707271162405757,38.0,AAPL
2024-10-21 12:57:00+00:00,0.37325768668599524,38.0,AAPL
2024-10-21 12:58:00+00:00,1.0696418048616207,38.0,AAPL
2024-10-21 12:59:00+00:00,2.965260079305976,38.0,AAPL
2024-10-21 13:00:00+00:00,1.3482894713122173,38.0,AAPL
2024-10-21 13:01:00+00:00,-0.01815542421061367,38.0,AAPL
2024-10-21 13:02:00+00:00,-1.0843785732050009,38.0,AAPL
2024-10-21 13:03:00+00:00,6.177529507644829,38.0,AAPL
2024-10-21 13:04:00+00:00,-2.790920135804701,38.0,AAPL
